project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 15-014,/records-research/project-search/og-15-014-0,HPA 15-027,"3251 Prospect Street, NW
United States",Commercial,"Vestibule canopy, sign - Morton's Steakhouse - Existing",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Permit application has been inactive for an extended period of time. Remove vestibule canopy and sign for Morton's Steakhouse, which were previously disapproved (see OG 13-094), no later than 30 April 2015. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",,,,,,,
OG 15-015,/records-research/project-search/og-15-015-1,HPA 15-028,"1728 Wisconsin Avenue, NW
United States",Commercial,Demolition; new construction,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Concept application has been inactive for an extended period of time.
","('/records-research/project-search/og-15-015-0', 'OG 15-015')",,,,,,
OG 15-016,/records-research/project-search/og-15-016-1,HPA 15-029,"1723 Wisconsin Avenue, NW
United States",Commercial,Rooftop and rear additions,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Concept application has been inactive for an extended period of time.
","('/records-research/project-search/og-15-016-0', 'OG 15-016')",,,,,,
OG 15-036,/records-research/project-search/og-15-036-0,HPA 15-050,"1218 Wisconsin Avenue, NW
United States",Commercial,Retractable skylight at rear yard,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,Returned without Action.  Concept application was withdrawn at the written request by the applicant.,,,,,,,
OG 15-038,/records-research/project-search/og-15-038-1,HPA 15-051,"3401 M Street, NW
United States",Commercial,Illuminated signs - Georgetown Running Company,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Permit application was withdrawn at the written request by the applicant. Note that existing signs do not conform to previous recommendation to remove sign on 34th Street side of entrance bay and to relocate sign above door to the 34th Street elevation. Bring existing signs into conformance no later than 31 May 2015. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
","('/records-research/project-search/og-15-038-0', 'OG 15-038')",,,,,,
OG 15-103,/records-research/project-search/og-15-103-0,HPA 15-191,"1312 31st Street, NW
United States",Residence,Replacement window bars,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action. Permit application was superseded by permit application OG 15-131. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",,,,"('/records-research/project-search/og-15-131-0', 'OG 15-131')",,,
OG 15-111,/records-research/project-search/og-15-111-0,HPA 15-212,"1236 28th Street, NW
United States",Residence,"Alterations to rear, replacement deck",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action.  Supplemental drawings with reduced scope of work and a site visit of 20 February 2015 indicate that proposed alterations to rear and replacement of rear deck would not be visible from a public thoroughfare.  The windows, shutters, door and siding on front facade to be repaired and retained as per applicant's email received 19 February 2015 and were deleted from this concept application.  Refer to Historic Preservation Review Board.  File permit drawings and application at DCRA for review by Commission to confirm work would not be visible from public thoroughfare.",,,,,,,
OG 15-124,/records-research/project-search/og-15-124-0,HPA 15-227,"1239 37th Street, NW
United States",Residence,"Alterations, HVAC equipment",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,"Returned without Action.  Submission materials and site visit of 18 February 2015 indicate that basement window alteration and HVAC equipment in rear yard would not be visible from a public thoroughfare.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-128,/records-research/project-search/og-15-128-0,HPA 15-231,"1801 35th Street, NW
United States",Fillmore School,"Alterations to school, new residential construction ",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23279,Returned without Action.  Concept application was withdrawn at the written request by the applicant.,,,,,,,
OG 15-027,/records-research/project-search/og-15-027-0,HPA 15-040,"1319 30th Street, NW
United States",Mixed-use,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,"Returned without Action. Concept application was superseded by permit application OG 15-091.
","('/records-research/project-search/og-15-027-1', 'OG 15-027')",,,"('/records-research/project-search/og-15-091-1', 'OG 15-091')",,,
OG 15-055,/records-research/project-search/og-15-055-0,HPA 15-830,"1319 30th Street, NW
United States",Residence,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,"Returned without Action. Permit application was superseded by permit application OG 15-091.
","('/records-research/project-search/og-15-027-1', 'OG 15-027')",,,"('/records-research/project-search/og-15-091-1', 'OG 15-091')",,,
OG 15-057,/records-research/project-search/og-15-057-1,HPA 15-085,"1544 33rd Street, NW
United States",Residence,"One-story rear addition, alterations",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,"Returned without Action. Submission materials dated 20 January 2015 and a site visit on 15 December 2014 indicate that rear addition, as revised, would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board. File permit drawings and application at DCRA for review by Commission to confirm work would not be visible from public thoroughfare.
","('/records-research/project-search/og-15-057-0', 'OG 15-057')",,,,,,
OG 15-079,/records-research/project-search/og-15-079-1,HPA 15-123,"3252 S Street, NW
United States",Residence,Rear addition of dormer,Concept - revised,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,"Returned without Action. Concept application for rear addition of dormer was withdrawn at the written request of applicant.
","('/records-research/project-search/og-15-079-0', 'OG 15-079')",,,,,,
OG 15-086,/records-research/project-search/og-15-086-0,HPA 15-174,"2709 N Street, NW
United States",Alexander Memorial Baptist Church,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,Returned without Action.  Permit application was superseded by permit application OG 15-088.,"('/records-research/project-search/og-15-078', 'OG 15-078')",,,"('/records-research/project-search/og-15-088', 'OG 15-088')",,,
OG 15-087,/records-research/project-search/og-15-087-0,HPA 15-175,"3408 Reservoir Road, NW
United States",Residence,New window opening ,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,"Returned without Action.  Submission materials and a site visit on 20 January 2015 indicate that the proposed rear basement window would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",,,,,,,
OG 15-097,/records-research/project-search/og-15-097-0,HPA 15-185,"2715 N Street, NW
United States",Alexander Memorial Baptist Church - Rectory,Addition and alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/23278,Returned without Action.  Permit application was superseded by permit application OG 15-098.,"('/records-research/project-search/og-14-143', 'OG 14-143')",,,"('/records-research/project-search/og-15-098', 'OG 15-098')",,,
